lambda	amp
763.176	0.538
763.338	0.541
763.501	0.543
763.663	0.546
763.825	0.551
763.988	0.561
764.150	0.574
764.312	0.593
764.474	0.608
764.636	0.615
764.798	0.624
764.961	0.635
765.122	0.644
765.284	0.661
765.446	0.675
765.608	0.684
765.770	0.694
765.932	0.707
766.094	0.718
766.255	0.728
766.417	0.743
766.579	0.758
766.740	0.770
766.902	0.778
767.064	0.780
767.225	0.789
767.387	0.800
767.548	0.810
767.709	0.818
767.871	0.826
768.032	0.831
768.193	0.836
768.355	0.841
768.516	0.842
768.677	0.842
768.838	0.844
768.999	0.849
769.160	0.857
769.321	0.860
769.482	0.861
769.643	0.863
769.804	0.865
769.965	0.864
770.126	0.863
770.287	0.856
770.447	0.853
770.608	0.854
770.769	0.848
770.929	0.850
771.090	0.853
771.251	0.859
771.411	0.866
771.572	0.875
771.732	0.884
771.892	0.884
772.053	0.886
772.213	0.895
772.373	0.902
772.534	0.910
772.694	0.910
772.854	0.915
773.014	0.921
773.174	0.923
773.334	0.923
773.494	0.928
773.654	0.930
773.814	0.937
773.974	0.940
774.134	0.951
774.294	0.957
774.454	0.954
774.614	0.954
774.773	0.961
774.933	0.965
775.093	0.968
775.252	0.974
775.412	0.981
775.571	0.979
775.731	0.976
775.890	0.977
776.050	0.986
776.209	0.995
776.368	1.000
776.528	0.996
776.687	0.994
776.846	0.986
777.005	0.981
777.165	0.986
777.324	0.991
777.483	0.989
777.642	0.986
777.801	0.978
777.960	0.970
778.119	0.966
778.278	0.966
778.436	0.966
778.595	0.966
778.754	0.961
778.913	0.949
779.071	0.939
779.230	0.933
779.389	0.923
779.547	0.911
779.706	0.891
779.864	0.870
780.023	0.851
780.181	0.835
780.340	0.817
780.498	0.812
780.656	0.808
780.815	0.800
780.973	0.795
781.131	0.789
781.289	0.782
781.447	0.773
781.605	0.774
781.763	0.773
781.921	0.772
782.079	0.773
782.237	0.774
782.395	0.777
782.553	0.776
782.711	0.772
782.869	0.771
783.026	0.769
783.184	0.767
783.342	0.761
783.499	0.759
783.657	0.758
783.814	0.760
783.972	0.763
784.129	0.768
784.287	0.765
784.444	0.764
784.602	0.769
784.759	0.773
784.916	0.777
785.073	0.780
785.231	0.789
785.388	0.803
785.545	0.806
785.702	0.810
785.859	0.808
786.016	0.806
786.173	0.804
786.330	0.805
786.487	0.809
786.644	0.805
786.801	0.800
786.957	0.797
787.114	0.793
787.271	0.792
787.427	0.785
787.584	0.774
787.741	0.765
787.897	0.759
788.054	0.748
788.210	0.745
788.367	0.745
788.523	0.743
788.680	0.740
788.836	0.738
788.992	0.737
789.148	0.733
789.305	0.734
789.461	0.731
789.617	0.725
789.773	0.720
789.929	0.715
790.085	0.711
790.241	0.716
790.397	0.724
790.553	0.727
790.709	0.737
790.865	0.741
791.020	0.742
791.176	0.744
791.332	0.744
791.488	0.749
791.643	0.753
791.799	0.756
791.954	0.761
792.110	0.771
792.265	0.788
792.421	0.794
792.576	0.799
792.732	0.807
792.887	0.814
793.042	0.818
793.198	0.820
793.353	0.811
793.508	0.809
793.663	0.817
793.818	0.821
793.973	0.829
794.128	0.831
794.283	0.827
794.438	0.828
794.593	0.826
794.748	0.825
794.903	0.821
795.058	0.829
795.212	0.834
795.367	0.841
795.522	0.846
795.677	0.848
795.831	0.851
795.986	0.860
796.140	0.861
796.295	0.859
796.449	0.860
796.604	0.855
796.758	0.849
796.912	0.845
797.067	0.840
797.221	0.838
797.375	0.831
797.529	0.825
797.683	0.817
797.838	0.815
797.992	0.808
798.146	0.808
798.300	0.813
798.454	0.814
798.608	0.811
798.761	0.812
798.915	0.810
799.069	0.814
799.223	0.824
799.377	0.836
799.530	0.848
799.684	0.861
799.838	0.877
799.991	0.891
800.145	0.899
800.298	0.903
800.452	0.901
800.605	0.901
800.759	0.891
800.912	0.874
801.065	0.864
801.218	0.865
801.372	0.865
801.525	0.869
801.678	0.875
801.831	0.879
801.984	0.874
802.137	0.865
