lambda	amp
947.062	0.027
947.173	0.026
947.284	0.027
947.395	0.028
947.506	0.027
947.617	0.027
947.728	0.028
947.839	0.026
947.950	0.031
948.061	0.033
948.172	0.033
948.283	0.033
948.393	0.033
948.504	0.034
948.615	0.034
948.725	0.035
948.836	0.035
948.947	0.035
949.057	0.035
949.168	0.034
949.278	0.034
949.388	0.034
949.499	0.034
949.609	0.033
949.720	0.034
949.830	0.028
949.940	0.027
950.050	0.026
950.160	0.027
950.270	0.028
950.380	0.028
950.491	0.028
950.601	0.028
950.710	0.028
950.820	0.028
950.930	0.029
951.040	0.028
951.150	0.027
951.260	0.028
951.369	0.028
951.479	0.027
951.589	0.027
951.698	0.028
951.808	0.028
951.917	0.027
952.027	0.027
952.136	0.026
952.246	0.025
952.355	0.025
952.464	0.024
952.574	0.023
952.683	0.024
952.792	0.023
952.901	0.023
953.011	0.023
953.120	0.022
953.229	0.022
953.338	0.023
953.447	0.021
953.556	0.022
953.665	0.022
953.774	0.023
953.882	0.024
953.991	0.024
954.100	0.025
954.209	0.025
954.317	0.025
954.426	0.026
954.535	0.025
954.643	0.026
954.752	0.027
954.860	0.028
954.969	0.029
955.077	0.029
955.186	0.028
955.294	0.028
955.402	0.028
955.511	0.027
955.619	0.026
955.727	0.026
955.835	0.025
955.943	0.025
956.051	0.027
956.159	0.027
956.267	0.028
956.375	0.029
956.483	0.029
956.591	0.030
956.699	0.029
956.807	0.029
956.915	0.029
957.022	0.030
957.130	0.030
957.238	0.031
957.345	0.031
957.453	0.031
957.561	0.030
957.668	0.030
957.776	0.029
957.883	0.027
957.990	0.026
958.098	0.027
958.205	0.026
958.312	0.026
958.420	0.025
958.527	0.025
958.634	0.025
958.741	0.025
958.848	0.025
958.955	0.025
959.062	0.023
959.169	0.024
959.276	0.023
959.383	0.023
959.490	0.023
959.597	0.025
959.703	0.026
959.810	0.026
959.917	0.025
960.024	0.025
960.130	0.027
960.237	0.026
960.343	0.026
960.450	0.026
960.556	0.025
960.663	0.025
960.769	0.025
960.876	0.026
960.982	0.026
961.088	0.027
961.195	0.027
961.301	0.027
961.407	0.026
961.513	0.026
961.619	0.027
961.725	0.026
961.831	0.026
961.937	0.026
962.043	0.026
962.149	0.027
962.255	0.028
962.361	0.029
962.467	0.030
962.572	0.030
962.678	0.030
962.784	0.030
962.889	0.030
962.995	0.031
963.101	0.031
963.206	0.030
963.312	0.030
963.417	0.030
963.522	0.030
963.628	0.031
963.733	0.030
963.838	0.029
963.944	0.029
964.049	0.027
964.154	0.026
964.259	0.025
964.364	0.026
964.469	0.025
964.574	0.026
964.679	0.025
964.784	0.025
964.889	0.026
964.994	0.027
965.099	0.027
965.204	0.027
965.309	0.027
965.413	0.027
965.518	0.026
965.623	0.027
965.727	0.027
965.832	0.027
965.936	0.028
966.041	0.029
966.145	0.028
966.250	0.028
966.354	0.028
966.458	0.028
966.563	0.028
966.667	0.027
966.771	0.028
966.875	0.027
966.980	0.027
967.084	0.026
967.188	0.025
967.292	0.025
967.396	0.025
967.500	0.025
967.604	0.025
967.708	0.025
967.812	0.024
967.915	0.023
968.019	0.023
968.123	0.024
968.227	0.024
968.330	0.024
968.434	0.024
968.537	0.024
968.641	0.025
968.744	0.024
968.848	0.025
968.951	0.026
969.055	0.026
969.158	0.027
969.261	0.027
969.365	0.027
969.468	0.027
969.571	0.027
969.674	0.027
969.777	0.028
969.880	0.027
969.984	0.027
970.087	0.026
970.190	0.026
970.292	0.025
970.395	0.025
970.498	0.025
970.601	0.026
970.704	0.025
970.807	0.025
970.909	0.025
971.012	0.025
971.115	0.026
971.217	0.026
971.320	0.026
971.422	0.026
971.525	0.026
971.627	0.025
971.729	0.024
971.832	0.025
971.934	0.024
972.036	0.025
972.139	0.025
972.241	0.025
972.343	0.024
972.445	0.024
972.547	0.025
972.649	0.024
972.751	0.024
972.853	0.023
972.955	0.023
973.057	0.023
973.159	0.025
973.261	0.025
973.363	0.025
973.464	0.026
973.566	0.025
973.668	0.026
973.770	0.026
973.871	0.025
973.973	0.026
974.074	0.026
974.176	0.027
974.277	0.026
974.379	0.027
974.480	0.027
974.581	0.028
974.683	0.029
974.784	0.030
974.885	0.029
974.986	0.029
975.087	0.029
975.188	0.029
975.289	0.030
975.391	0.030
975.492	0.030
975.592	0.030
975.693	0.030
975.794	0.030
975.895	0.030
975.996	0.031
976.097	0.031
976.197	0.031
976.298	0.030
976.399	0.029
976.499	0.029
976.600	0.029
976.700	0.030
976.801	0.029
976.901	0.030
977.002	0.030
977.102	0.030
977.203	0.030
977.303	0.029
977.403	0.029
977.503	0.029
977.603	0.028
977.704	0.027
977.804	0.027
977.904	0.028
978.004	0.027
978.104	0.028
978.204	0.027
978.304	0.027
978.404	0.020
978.503	0.015
978.603	0.038
978.703	0.039
978.803	0.019
978.902	0.025
979.002	0.016
979.102	0.020
